articles,lang
"Image copyright PA/EPA Image caption Oligarch Roman Abramovich (l) and PM Dmitry Medvedev are on the list

Russian President Vladimir Putin says a list of officials and businessmen close to the Kremlin published by the US has in effect targeted all Russian people.

The list names 210 top Russians as part of a sanctions law aimed at punishing Moscow for meddling in the US election.

However, the US stressed those named were not subject to new sanctions.

Mr Putin said the list was an unfriendly act that complicated US-Russia ties but he said he did not want to escalate the situation.

Mr Putin said Russia should instead be thinking about ""ourselves and the economy"".

The list was also derided by a number of senior Russian officials who said it bore a strong resemblance to the Forbes magazine ranking of Russian billionaires. A US Treasury Department later told Buzzfeed that an unclassified annex of the report had been derived from the magazine.

Why did the US publish the list?

The government was required to draw up the list after Congress passed the Countering America's Adversaries Through Sanctions Act (Caatsa) in August.

The law aimed to punish Russia for its alleged meddling in the 2016 US presidential election and its actions in Ukraine.

Congress wanted the list to name and shame those who had benefited from close association with President Putin and put them on notice that they could be targeted for sanctions, or more sanctions, in the future.

President Donald Trump did not support Caatsa, even though he signed it into law, saying it was ""unconstitutional"".

Under the law, the list had to be delivered by Monday. The fact it was released about 10 minutes before midnight may reflect Mr Trump's coolness towards it, and his opposition to punishing more Russians with sanctions.

The top Democrat on the House Foreign Affairs Committee, Eliot Engel, accused the Trump administration of letting ""Russia off the hook again"" by not taking substantial action.

Who has been named?

Informally known as the ""Putin list"", the unclassified section has 210 names, 114 of them in the government or linked to it, or key businessmen. The other 96 are oligarchs apparently determined more by the fact they are worth more than $1bn (£710m) than their close ties to the Kremlin.

Image copyright Reuters Image caption Congress passed the law in August, although President Donald Trump had opposed it

Most of Mr Putin's longstanding allies are named, many of them siloviki (security guys). They include the spy chiefs Alexander Bortnikov of the Federal Security Service (FSB) - which Mr Putin used to run - and Sergei Naryshkin of the Foreign Intelligence Service (SVR).

The men who control Russia's energy resources are listed: Gazprom chief Alexei Miller, Rosneft chief Igor Sechin and other oil and gas executives, along with top bankers like Bank Rossiya manager Yuri Kovalchuk.

The oligarchs include Kirill Shamalov, who is reported to be Mr Putin's son-in-law, although the Kremlin has never confirmed his marriage to Katerina Tikhonova, nor even that she is the president's daughter.

Internationally known oligarchs are there too, such as those with stakes in top English football clubs: Alisher Usmanov (Arsenal) and Roman Abramovich (Chelsea).

Will they face new sanctions?

Not at the moment. The US Treasury document itself stresses: ""It is not a sanctions list, and the inclusion of individuals or entities... does not and in no way should be interpreted to impose sanctions on those individuals or entities.""

It adds: ""Neither does inclusion on the unclassified list indicate that the US government has information about the individual's involvement in malign activities.""

However, there is a classified version said to include information detailing allegations of involvement in corrupt activities.

What does it mean for Russia's elite?

Analysis: Steve Rosenberg, BBC Moscow correspondent

The good news for the Kremlin: this isn't a sanctions list. But the good news ends there.

Those Russian officials and oligarchs named by the US Treasury will worry that their inclusion could signal sanctions in the future.

Even before the list was made public, the Kremlin had claimed the US Treasury report was an attempt to meddle in Russia's presidential election.

The list reads like a Who's Who of the Russian political elite and business world.

Moscow won't want that to become a Who's Sanctioned.

What is the Caatsa act and did the president want it?

The law limited the amount of money Americans could invest in Russian energy projects and made it more difficult for US companies to do business with Russia.

It also imposed sanctions on Iran and North Korea.

Media playback is unsupported on your device Media caption All you need to know about the Trump-Russia investigation

In signing the act, Mr Trump attached a statement calling the measure ""deeply flawed"" and said he could make ""far better deals with foreign countries than Congress"".

Earlier on Monday, the US government argued the Caatsa law had already pushed governments around the world to cancel deals with Russia worth billions, suggesting that more sanctions were not required.

How have the Russians reacted?

Perhaps referring to the fact that all of their political representatives had been named, Mr Putin said that, in effect, ""all 146 million Russians have been put on the list"".

He joked he was offended not to be named himself.

Earlier, Kremlin spokesman Dmitry Peskov, who is himself on the list, accepted that it was not one of sanctions but said it could potentially damage ""the image and reputation"" of figures listed and their associated companies.

He added: ""It's not the first day that we live with quite aggressive comments made towards us, so we should not give in to emotions.""

When Caatsa was passed, PM Dmitry Medvedev said it meant the US had declared a ""full-scale trade war"" on Russia.

Russian opposition leader Alexei Navalny praised the publication of the names as ""a good list"".",en
"Husband admits killing French jogger

Three months after Alexia Daval's body was found, her husband tells police he killed her by mistake.",en
"Media playback is unsupported on your device Media caption Chris Parker was interviewed by reporters in the aftermath of the attack

A homeless man who stole from victims of the Manchester Arena bomb attack has been jailed.

Chris Parker was hailed a hero after saying he helped, but CCTV showed him stealing from two victims and taking photos of others as they lay dying.

The 33-year-old had previously admitted stealing a purse and a mobile phone.

Jailing him for four years and three months at Manchester Crown Court, Judge David Hernandez told Parker: ""You were not the hero you pretended to be.""

The judge added: ""You were just a common thief.""

Parker pleaded guilty to two counts of theft and one of fraud after admitting using a debit card from the stolen purse.

Judge Hernandez said: ""You stole from people who were seriously injured at a time when others were either dead or dying.

""It is hard to contemplate a more reprehensible set of circumstances.""

Image copyright Greater Manchester Police Image caption The judge told Chris Parker it was ""hard to contemplate a more reprehensible set of circumstances""

Salman Abedi detonated a homemade bomb at an Ariana Grande concert at Manchester Arena on 22 May, killing 22 people and injuring many more.

CCTV footage played in court showed Parker leaning over injured survivor Pauline Healey and taking her handbag to steal her purse, as her teenage granddaughter lay dying nearby.

Hours later, Parker was using Mrs Healey's bank card at a local McDonald's restaurant.

The court heard the footage also captured him taking photographs of the victims, including one of Mrs Healey.

Prosecutor Louise Brandon showed the judge four pictures Parker took in the foyer which, she said, he later sold for £100.

She said the CCTV footage shows Parker ""taking the opportunities that presented themselves to him to take photographs and to look for and, where possible, take valuable items, such as purses and mobile telephones from the bags of the victims"".

""As the tragedy unfolded around him, when the vast majority of those who were in the arena with him were trying to save lives and care for the injured and lost, the defendant was focused on seeking to take advantage of the situation,"" she added.

Image copyright PA Image caption Salman Abedi detonated a home-made bomb in the foyer of the arena on 22 May last year

Parker also stole a mobile phone from a 14-year-old girl who was seriously hurt in the blast.

Miss Brandon said the teenager had been holding it at the time of the explosion.

Parker then picked it up, the court heard.

The prosecutor said the girl's phone rang a number of times as people tried to contact her, but Parker terminated one call with an automatic return text message which read: ""Sorry I can't talk right now.""

In a victim personal statement, the girl's mother said the theft was ""yet another blow as to how despicable people could be"".

Supt Chris Hill, from Greater Manchester Police, said: ""No matter what personal circumstances you might find yourself in, to steal from injured and terrified innocent people is deplorable.

""Parker exploited these people when they were at their most vulnerable and needed the help of those around them.""

The judge told Parker he will serve half his sentence in custody before being released on licence.

He also banned him from Manchester city centre for 10 years.

When the story of Parker's ""heroism"" was originally reported, an appeal on the crowdfunding website GoFundMe raised £52,000.

A spokesman for GoFundMe said Parker did not receive the money and it has been returned to the donors.",en
"Manchester City's Leroy Sane is ruled out for ""six or seven weeks"" with ankle ligament damage suffered in his side's FA Cup win at Cardiff.",en
"Image copyright AFP Image caption Sebastien Bras (l) took over his famed restaurant from his father Michel Bras (r) a decade ago

A prestigious food guide has allowed a top French restaurant to publicly withdraw from its listings.

Sebastien Bras's Le Suquet restaurant in southern France held Michelin's three-star rating for 18 years.

He shocked the food world in September when he decided to give up his top rating, saying he no longer wanted to cook under the ""huge pressure"" of being judged by its inspectors.

It is the first time Michelin has ever allowed a restaurant to bow out.

""It is difficult for us to have a restaurant in the guide which does not wish to be in it,"" Michelin spokesperson Claire Dorland Clauzel told AFP news agency. She said other restaurants had dropped out when chefs retired or the concept had changed.

What did Mr Bras say exactly?

The gastronomic bible's decision comes after Mr Bras, 46, spoke out about no longer being able to deal with knowing that just one below-par dish could jeopardise his reputation.

""You're inspected two or three times a year, you never know when,"" he told AFP.

""Every meal that goes out could be inspected. That means that every day one of the 500 meals that leaves the kitchen could be judged.""

Mr Bras's famed restaurant in Laguiole will not be featured in the 2018 edition of the Michelin guide to be published next Monday.

Media playback is unsupported on your device Media caption Million dollar idea: The Michelin Guide

What does it take to reach star quality?

Originally published in 1900 to guide French motorists to find food and lodging on the road, the Michelin guide is now exclusively dedicated to fine dining.

To be in for a chance of one of the coveted stars, restaurants first have to be in a region Michelin covers. In 2016, it made history by releasing its first-ever Singapore edition, in which it awarded stars to street stalls for the first time.

Researchers for the secretive organisation whittle down the best-reviewed restaurants by food bloggers and critics, and only after scouts draft a shortlist, do inspectors make anonymous visits to evaluate the food.

One Michelin star represents a ""very good restaurant in its category"", while two stars denotes a restaurant boasting ""excellent cooking"" that is ""worth a detour"". Three stars, however, is the ultimate honour, afforded only to those restaurants that offer ""exceptional cuisine"" that is ""worth a special journey"".

How great is the pressure on top chefs?

It is not clear what the exact recipe is to receive a recommendation or star - but chefs have been chasing these accolades for decades.

Currently, 27 French restaurants are in the elite club of holding Michelin's maximum three-star rating.

Mr Bras, who took over his three-star restaurant from his father Michel Bras almost a decade ago, accepts that by relinquishing his stars, ""maybe I will be less famous"".

Le Suquet was dubbed ""spellbinding"" by Michelin's guide and currently commands a price of up to €230 (£202; $285) for its fixed menus. Its chef says he is keen to ""start a new chapter"" in his restaurant's history, away from the ultra-competitive world of Michelin-star cooking.

He hopes he will soon be able to present tantalising dishes ""without wondering whether my creations will appeal to [the] inspectors"".

He confessed that, like ""all chefs"", he sometimes thought of fellow Frenchman Bernard Loiseau, who took his own life in 2003. Mr Loiseau took 10 years to achieve three stars and his death was widely linked to rumours that he would lose his third Michelin star.

You might also like:

While Mr Bras's restaurant is the first to be removed voluntarily from the Michelin guide, it is not the first luxury eatery to shed its stars:

In 2005, the late Alain Senderens said he'd had enough of the agony of perfection and closed his three-star Art Nouveau Paris restaurant. He is quoted as saying he wanted to do ""beautiful cuisine without all the tra-la-la and chichi""

Olivier Roellinger closed his lavish Breton restaurant three years later, saying he wanted a quieter life",en
"The middle of nowhere

Five miles from the South Dakota border in the remote northern reaches of the US state of Nebraska, a long dirt road cuts through rolling prairie grasslands and golden wheat fields towards downtown Monowi, a place you can see in its entirety by climbing any of its hay bales.

An abandoned church, whose empty pews are now filled with tractor tyres, stands opposite the decaying skeleton of a grain elevator. Weeds and brome grass twist around the rotting remnants of homes that are collapsing in on themselves. And inside a white, squat building with paint peeling off its frame, 84-year-old Elsie Eiler is flipping pork fritters and cracking open beer bottles for a pair of regulars under a sign that reads: “Welcome To The World Famous Monowi Tavern. Coldest Beer In Town!”

When Eiler’s husband, Rudy, passed away in 2004, he didn’t just leave her to run the tavern, but the whole town. Today, according to the US Census, Monowi is the only incorporated place in the US with just one resident, and Eiler is the mayor, clerk, treasurer, librarian, bartender and only person left in the US’ tiniest town.",en
"Image copyright Reuters Image caption Mr Trump was not involved in the misspelling

Tickets for US President Donald Trump's first State of the Union address later on Tuesday have had to be urgently reprinted because of a glaring typo which lawmakers mocked.

The offending tickets invited people to attend Mr Trump's ""State of the Uniom"".

""Looking forward to... State of the Uniom,"" Sen Marco Rubio tweeted, while one social media user asked: ""Will they be serving covfefe...?""

This was a reference to a tweet by Mr Trump in May, which left many puzzled.

It was an apparent typo, although the president has never publicly commented on the issue.

But this time US officials were quick to point out that the ""Uniom"" typo had nothing to do with Mr Trump.

In fact, the error was made by the Sergeant at Arms of the US House of Representatives, whose office oversaw the printing of the tickets.

""There was a misprint on the ticket,"" a spokesman for the office told the AFP news agency.

""It was corrected immediately, and our office is redistributing the tickets.""

It was not immediately clear how many tickets were affected.

Anyone looking at the flawed tickets and wondering whether the word ""visitor"" in ""Visitor's Gallery"" should not be plural instead may be relieved to know it is not a typo - that's just what they call it.",en
"Putin says US list targets all Russians

Russia's leader says the new sanctions-based list is ""unfriendly"" but he does not want to retaliate.",en
"Image copyright Getty Images

It is the blockbuster US news event of the week, with an estimated 40 million people preparing to tune in to watch President Donald Trump deliver his first State of the Union address.

The keynote speech will be an opportunity for the president to outline his agenda for the next 12 months, shape political policy and highlight past accomplishments.

""It's a big speech, an important speech,"" Mr Trump said on Monday. But what can we expect?

1. Taking credit

""The economy will be front and centre,"" White House spokeswoman Sarah Sanders told reporters on Monday.

After a turbulent first year in office, President Trump is very likely to start with the positives - his tax reforms that were passed through the Senate at the end of last year. They are the most significant overhaul of the US tax code in a generation, slashing corporate and individual tax rates.

Many expect him to link these reforms with America's improving economy, roaring stock markets and lowering unemployment rates.

Plans to rebuild some of America's aging roads and other infrastructure may also get a mention, as well as demands for reciprocal trade with China.

2. Dreamers debate

Deep divisions remain between Democrats and Republicans over immigration reform, and the president is expected to push for a bipartisan solution.

At the heart of his proposal are the 700,000 young people who entered the US illegally and without documents as children, so-called Dreamers. His decision to overturn a scheme - Daca - that shields these people from deportation outraged Democrats.

The president may touch on the subject as he is hoping to draw Democrats in with a deal to overturn these plans, in return for securing billions for a proposed border wall with Mexico, and cuts to legal immigration levels.

All eyes and cameras will be trained on at least 24 Democratic lawmakers who are bringing Dreamers as their guests to watch the show, according to ABC News.

3. Presidential or Twitter Trump?

It won't be his first speech in Congress as Donald Trump addressed both houses last February, when he stated the US was witnessing a ""renewal of the American spirit"". In fact, he surprised many by adopting a more presidential and measured tone than expected.

However, just days after this speech, he returned with a claim on Twitter that his predecessor, Barack Obama, had hacked his phones during the presidential campaign.

The tone of his maiden State of the Union address remains to be seen, but many will be wondering whether he will stick to the script - or the teleprompter - like he did last time.

4. Kennedy clansman gets first response

Joseph Kennedy III, a rising star who is also part of the Kennedy political dynasty, faces the daunting task of delivering the Democrats' response to President Trump's address.

The 37-year-old Massachusetts representative rose to the spotlight after his criticism of Republican attempts to end Obamacare.

Image copyright Getty Images

His nomination as rebutter-in-chief suggests the Democrats are willing to have a younger generation represent the party. Some observers believe he will appeal to working- and middle-class voters who his party argues have been neglected by Trump.

2016 hopeful Bernie Sanders will also offer his own take on the union address on his various social media platforms.

5. The guests - and the designated survivor

As is customary, the president brings along a group of guests, sometimes called ""Skutniks"". The name comes from a man, Lenny Skutnik, who was honoured by President Ronald Reagan in his 1982 address after jumping into the icy Potomac river in Maryland to rescue survivors of a plane crash.

President Trump's guests include first responders, military veterans, a welder from Ohio who says he is benefiting from recent tax cuts and the parents of children killed by an El Salvadorean street gang, MS-13, which the president has vowed to wipe out.

Media playback is unsupported on your device Media caption Nisa Mickens, 15, was killed by an MS-13 gang including undocumented immigrants

Lawmakers are also allowed to bring their own guests. Dreamers, sexual assault victims and victims of gun violence are all said to be on the list of attendees.

Some prominent Democratic legislators won't be showing up at all - including John Lewis, Maxine Waters and Jan Schakowsky - in protest against the president, who has caused outrage in recent weeks over his crude remarks about African countries, leading to accusations of racism.

And at least one member of Trump's cabinet will miss the proceedings - the designated survivor, who remains in a secure location to ensure continuity of government should a catastrophic event occur.",en
"Image copyright Reuters Image caption The high-profile figures were detained at Riyadh's Ritz-Carlton Hotel

A sweeping anti-corruption drive in Saudi Arabia has generated an estimated $106.7bn (£75.6bn) in settlements, the kingdom's attorney general has said.

Sheikh Saud al-Mojeb said 56 of the 381 people called in for questioning since 4 November remained in custody.

The others had been cleared or admitted guilt and handed over properties, cash, securities and other assets, he added.

Sheikh Mojeb did not name any of those involved, but they reportedly include princes, ministers and businessmen.

In recent days, the billionaire investor Prince Alwaleed bin Talal and Alwalid al-Ibrahim, owner of the Arab satellite television network MBC, were released from detention at the Ritz-Carlton Hotel in Riyadh's diplomatic quarter.

Media playback is unsupported on your device Media caption Saudi billionaire Prince Alwaleed bin Talal gives tour of luxury 'jail'

Both men insisted they were innocent, but Saudi official sources said they had agreed to financial settlements after admitting unspecified ""violations"".

Others known to have been freed include Prince Miteb bin Abdullah, a son of the late King Abdullah who sources said had handed over more than $1bn in assets; and state minister Ibrahim al-Assaf, who was reportedly cleared of any wrongdoing.

Sheikh Mojeb said he had ""refused to settle"" with the 56 individuals still being detained ""due to other pending criminal cases, or in order to continue the investigation process"".

They are believed to have been transferred to prison from the Ritz-Carlton, which will reopen to the public next month.

Last week, Finance Minister Mohammed al-Jadaan said the money recovered through the settlements would be used to fund a $13.3bn programme to help Saudi citizens cope with the rising cost of living.

The anti-corruption drive is being spearheaded by Crown Prince Mohammed bin Salman, the 32-year-old son of King Salman, who has rejected as ""ludicrous"" analysts' suggestions that it is a power grab. He said many of those detained had pledged allegiance to him since he became heir apparent in June.",en
